정류소아이디,정류소명,경도,위도,위치정보(주변설명),데이터 기준일자
405002113,영락교회,126.543646,33.511117,,2022-11-01
406000703,영락리,126.210009,33.257907,영락사통 방향,2022-11-01
406000903,영락리,126.210333,33.257083,농공단지 방향,2022-11-01
406000902,영락사통,126.207769,33.260603,일주서로 3171건물 좌측(영락리 방향),2022-11-01
406000901,영락사통,126.207822,33.260712,무릉1리 방향,2022-11-01
405002072,영산홍아파트,126.539946,33.495543,,2022-11-01
405002071,영산홍아파트,126.539926,33.495198,,2022-11-01
406001107,영실매표소,126.48022,33.340251,쉼터 앞쪽,2022-11-01
406001099,영실입구,126.459592,33.333039,영실입구삼거리 부근,2022-11-01
406001108,영실입구,126.459509,33.333172, (세계자연유산 안내판앞)서귀포자연휴양림방면.제주시방면 ,2022-11-01
405002525,영주고 입구,126.574831,33.459518,,2022-11-01
405002524,영주고 입구,126.574772,33.459627,,2022-11-01
405000144,영주고등학교,126.577754,33.457124,영주고등학교 앞,2022-11-01
405000143,영주고등학교,126.577861,33.457194,영주고등학교 앞(기.종점지 같이 사용),2022-11-01
406001608,영주산,126.803577,33.398277,,2022-11-01
406001609,영주산,126.803709,33.398133,,2022-11-01
406000308,영천동주민센터,126.587131,33.268881,서귀포향토오일시장 방면,2022-11-01
406000307,영천동주민센터,126.587331,33.268801,한라횟집 우측(토평마을회관 방면),2022-11-01
405000574,영평동,126.563476,33.479182,영평상동 방면,2022-11-01
405001967,영평상동,126.568967,33.476677,,2022-11-01
405001966,영평상동,126.568914,33.477258,,2022-11-01
405000571,영평상동마을회관,126.568226,33.476663,영평동 복지회관 앞,2022-11-01
405000572,영평상동마을회관,126.568246,33.476789,영평상동복지회관 맞은편,2022-11-01
405002067,영평알동네,126.560433,33.48215,,2022-11-01
405002068,영평알동네,126.560284,33.48195,,2022-11-01
405002612,영평초등학교 차오름체육관,126.566018,33.478211,,2022-11-01
405000633,영평하동,126.573319,33.48694,월평방향,2022-11-01
405000634,영평하동,126.57315,33.48685,,2022-11-01
406001579,예담요양원,126.816337,33.342352,,2022-11-01
406001607,예담요양원,126.816329,33.34226,,2022-11-01
406001955,예래동 비석거리,126.395058,33.25203,,2022-11-01
406001956,예래동 비석거리,126.395492,33.252073,,2022-11-01
406000373,예래동가동거리,126.387888,33.245371,예래동가동거리승차대 맞은편,2022-11-01
406000372,예래동가동거리,126.388016,33.245379,서귀포방면(클린하우스 앞),2022-11-01
406001730,예래동노인회관,126.39282,33.246666,,2022-11-01
406001731,예래동노인회관,126.393038,33.246675,,2022-11-01
406000380,예래동주민센터,126.397717,33.253767,주민센터 우측,2022-11-01
406000381,예래동주민센터,126.398555,33.254249,중문관광단지 방향,2022-11-01
406001733,예래생태체험관,126.389327,33.244083,,2022-11-01
406001732,예래생태체험관,126.389504,33.244261,,2022-11-01
406001729,예래오마트,126.394256,33.249748,,2022-11-01
406001728,예래오마트,126.39413,33.249719,,2022-11-01
406000015,예래입구,126.404644,33.258694,맛있는밥상 앞,2022-11-01
406000016,예래입구,126.404427,33.258617,맛있는밥상 맞은편,2022-11-01
406000374,예래초등학교,126.391097,33.246558,예래초 담벼락,2022-11-01
406000375,예래초등학교,126.390704,33.246354,클린하우스 맞은편,2022-11-01
406000010,예래헬스사우나,126.385013,33.264187,중문랜드 앞,2022-11-01
406001383,예래헬스사우나,126.384185,33.264318,예래고을농수산 좌측,2022-11-01
405000542,예비군훈련장,126.5017,33.47535,제주해병대간판 앞,2022-11-01
406000499,예비군훈련장,126.575158,33.288179,,2022-11-01
406000498,예비군훈련장,126.574907,33.288083,,2022-11-01
405000541,예비군훈련장,126.502197,33.474568,제주해병대간판 맞은편,2022-11-01
405001124,예원동,126.403353,33.456102,돌하르방 장전리마을명 앞,2022-11-01
405000809,예원동,126.403305,33.45625,돌하르방 마을명이정표 맞은편,2022-11-01
405002256,예원동,126.397773,33.460794,,2022-11-01
405002257,예원동,126.397818,33.46095,,2022-11-01
405000819,예원동민회관 앞,126.399334,33.458989,예원동복지회관 앞,2022-11-01
405000818,예원동민회관 앞,126.39941,33.458985,예원동 복지회관 맞은편,2022-11-01
405002054,예천전문요양원,126.620069,33.500027,,2022-11-01
405002053,예천전문요양원,126.619924,33.499916,,2022-11-01
405001029,예향원,126.258867,33.353041,월림리 방향 예향원 맞은편,2022-11-01
405001030,예향원,126.259274,33.353044,상명리사무소 방향 예향원 앞,2022-11-01
406001848,옛배움터,126.844104,33.342245,,2022-11-01
406001847,옛배움터,126.844237,33.34231,,2022-11-01
406001814,옛성정문,126.745083,33.317649,,2022-11-01
406000720,옛성정문,126.745179,33.318171,신흥1리 방향,2022-11-01
405000602,오광로,126.461001,33.485253,백야레카 앞,2022-11-01
405000603,오광로,126.46057,33.485665,우신냉동 앞,2022-11-01
405000002,오광로입구,126.456364,33.49531,SK LPG주유소앞,2022-11-01
405000003,오광로입구,126.456337,33.495514,해피렌트카 앞,2022-11-01
405001939,오당빌레,126.353524,33.45352,오당빌레촌 앞,2022-11-01
405000605,오도마을,126.457375,33.491073,한라맨션 우측(현사마을 방향),2022-11-01
405000604,오도마을,126.457667,33.4909,클린하우스 옆(노형방향),2022-11-01
405000550,오등동,126.529413,33.475142,장구마을 방향,2022-11-01
405000549,오등동,126.5298,33.475267,정실방향 클린하우스 옆,2022-11-01
405002307,오등동입구,126.530075,33.48097,,2022-11-01
405001671,오등동입구,126.529343,33.48123,체스코마트 맞은편,2022-11-01
405001672,오등동입구,126.530561,33.481409,제스코마트 앞,2022-11-01
405002093,오등상동,126.533672,33.462568,,2022-11-01
405002092,오등상동,126.533588,33.46284,,2022-11-01
405002094,오등상동복지회관,126.539794,33.459477,,2022-11-01
405002095,오등상동복지회관,126.539877,33.459301,,2022-11-01
405000077,오라1동,126.516216,33.492629,맛짱김밥 좌측,2022-11-01
405000076,오라1동,126.517297,33.492255,오라공인중개사 우측,2022-11-01
405001659,오라1동복지회관,126.516395,33.493919,,2022-11-01
405000621,오라1동복지회관,126.516501,33.493966,오라1동복지회관 앞,2022-11-01
405000177,오라3동,126.503183,33.49925,서울중고 앞,2022-11-01
405000161,오라동 주민센터,126.512633,33.496283,주경기장 앞,2022-11-01
405001658,오라동주민센터,126.512588,33.495198,종합경기장 뒷길,2022-11-01
405000608,오라오거리,126.50465,33.500033, 신제주 R방향.1급세기자동차공업사우측,2022-11-01
405000072,오라초등학교,126.512381,33.489079,사려니숲길입구 건너편,2022-11-01
405000073,오라초등학교,126.512503,33.489162,화성푸르니3차 앞,2022-11-01
405000504,오래물광장,126.467222,33.504864,용천수노천탕 앞,2022-11-01
405000505,오래물광장,126.467183,33.505016,용천수노천탕 맞은편,2022-11-01
